measurement_id,operation_type,batch_size,energy_joules,energy_kwh,carbon_grams_co2,carbon_intensity_gco2_kwh,power_usage_effectiveness,traditional_system_multiplier,transactions_per_kwh,efficiency_score_phi_normalized,data_center_region,renewable_fraction,cooling_method,measurement_timestamp_utc
ENERGY-000153,bridge_transfer,1,0.00085157,2.37e-10,1.419e-07,600,1.0871,730.94,4227465055.44,0.72575475,japan,0.9253,free_cooling,2026-01-03T20:00:00Z
ENERGY-000154,model_inference,1,0.05173322,1.437e-08,1.437e-06,100,1.1855,1018.4,69587784.16,0.01194656,japan,0.4273,immersion,2026-03-30T05:00:00Z
ENERGY-000155,bridge_transfer,100,0.11600005,3.2222e-08,9.6667e-06,300,1.1905,942.71,31034468.79,0.00532788,nordic,0.6975,liquid,2026-03-07T16:00:00Z
ENERGY-000156,bridge_transfer,50,0.05354236,1.4873e-08,4.4619e-06,300,1.2963,897.15,67236484.56,0.0115429,us-east,0.6009,free_cooling,2026-01-21T10:00:00Z
ENERGY-000157,netting_cycle,1,0.00189088,5.25e-10,5.25e-08,100,1.3414,1598.59,1903878227.68,0.3268504,eu-west,0.7805,free_cooling,2026-05-25T05:00:00Z
ENERGY-000158,token_mint,10,0.00605966,1.683e-09,7.575e-07,450,1.2849,1155.96,594093160.04,0.1019916,nordic,0.8931,liquid,2026-01-09T07:00:00Z
ENERGY-000159,coherence_check,50,0.00462149,1.284e-09,7.702e-07,600,1.1341,639.24,778969836.64,0.13373051,us-east,0.7059,free_cooling,2026-06-28T20:00:00Z
ENERGY-000160,netting_cycle,500,1.02539269,2.84831e-07,2.84831e-05,100,1.1517,691.19,3510850.07,0.00060273,japan,0.7493,free_cooling,2026-01-08T21:00:00Z
ENERGY-000161,bridge_transfer,1,0.00101952,2.83e-10,5.66e-08,200,1.1145,1039.95,3531060665.24,0.60619875,japan,0.6973,air,2026-03-22T04:00:00Z
ENERGY-000162,settlement_batch,5,0.01472823,4.091e-09,4.091e-07,100,1.2497,840.69,244428530.94,0.04196254,singapore,0.834,immersion,2026-05-13T08:00:00Z
ENERGY-000163,netting_cycle,10,0.01983014,5.508e-09,1.6525e-06,300,1.1552,866.73,181541840.06,0.0311664,nordic,0.9181,liquid,2026-03-09T00:00:00Z
ENERGY-000164,canister_query,50,0.00264548,7.35e-10,7.35e-08,100,1.1951,982.34,1360809718.22,0.23361852,japan,0.3825,free_cooling,2026-05-20T10:00:00Z
ENERGY-000165,token_mint,5,0.00243052,6.75e-10,3.38e-08,50,1.1675,632.35,1481163213.68,0.25428034,singapore,0.4187,immersion,2026-05-17T20:00:00Z
ENERGY-000166,bridge_transfer,1,0.00100788,2.8e-10,8.4e-08,300,1.127,821.02,3571862529.53,0.61320346,us-east,0.6406,air,2026-06-15T19:00:00Z
ENERGY-000167,coherence_check,500,0.06276342,1.7434e-08,3.4869e-06,200,1.1234,1100.64,57358248.62,0.00984704,us-east,0.918,immersion,2026-04-28T06:00:00Z
ENERGY-000168,bridge_transfer,5,0.00494732,1.374e-09,4.123e-07,300,1.1495,1256.2,727667257.45,0.12492308,us-east,0.9248,air,2026-06-08T02:00:00Z
ENERGY-000169,netting_cycle,5,0.01035803,2.877e-09,1.7263e-06,600,1.2666,757.53,347556338.47,0.05966712,eu-west,0.8391,free_cooling,2026-01-09T00:00:00Z
ENERGY-000170,canister_query,10,0.00053869,1.5e-10,1.5e-08,100,1.0932,989.34,6682870435.93,1.0,us-east,0.3228,free_cooling,2026-06-29T09:00:00Z
ENERGY-000171,model_inference,5,0.24717698,6.866e-08,3.08971e-05,450,1.2505,1089.1,14564462.85,0.00250037,japan,0.7296,free_cooling,2026-02-17T01:00:00Z
ENERGY-000172,netting_cycle,10,0.01907844,5.3e-09,3.1797e-06,600,1.0954,878.22,188694625.37,0.03239436,japan,0.7901,free_cooling,2026-05-28T00:00:00Z
ENERGY-000173,canister_query,1,4.997e-05,1.4e-11,1.4e-09,100,1.2743,876.46,72047015950.16,1.0,nordic,0.7161,air,2026-04-17T13:00:00Z
ENERGY-000174,model_inference,50,2.44124991,6.78125e-07,0.000135625,200,1.2652,933.73,1474654.43,0.00025316,singapore,0.8819,liquid,2026-06-14T04:00:00Z
ENERGY-000175,model_inference,500,22.1404036,6.150112e-06,0.0012300224,200,1.2026,1201.69,162598.66,2.791e-05,eu-west,0.5114,air,2026-02-20T17:00:00Z
ENERGY-000176,token_mint,50,0.02817569,7.827e-09,4.6959e-06,600,1.2624,699.78,127769728.58,0.02193501,singapore,0.6095,air,2026-04-08T04:00:00Z
ENERGY-000177,provenance_verify,1,0.00017658,4.9e-11,2.21e-08,450,1.177,1069.72,20387523971.02,1.0,eu-west,0.1855,air,2026-05-27T16:00:00Z
ENERGY-000178,token_mint,10,0.00533952,1.483e-09,2.966e-07,200,1.1135,768.81,674218395.41,0.11574719,us-east,0.4245,air,2026-01-19T15:00:00Z
ENERGY-000179,canister_query,50,0.00305749,8.49e-10,3.822e-07,450,1.0563,1267.39,1177437341.01,0.20213786,us-east,0.7472,free_cooling,2026-04-12T18:00:00Z
ENERGY-000180,netting_cycle,1,0.00214761,5.97e-10,3.579e-07,600,1.3009,908.05,1676283883.82,0.28777789,japan,0.8942,free_cooling,2026-03-09T09:00:00Z
ENERGY-000181,canister_update,50,0.0166227,4.617e-09,4.617e-07,100,1.2862,1112.73,216571274.65,0.03718011,singapore,0.8409,immersion,2026-05-17T11:00:00Z
ENERGY-000182,provenance_verify,1,0.00022089,6.1e-11,3.68e-08,600,1.0546,1061.89,16297969883.91,1.0,eu-west,0.8365,air,2026-06-18T20:00:00Z
ENERGY-000183,canister_query,5,0.00024254,6.7e-11,4.04e-08,600,1.1978,1007.36,14843006684.15,1.0,us-east,0.7514,immersion,2026-01-12T10:00:00Z
ENERGY-000184,canister_update,50,0.01489512,4.138e-09,1.2413e-06,300,1.4184,1112.2,241689929.38,0.04149239,nordic,0.5554,liquid,2026-04-16T20:00:00Z
ENERGY-000185,provenance_verify,500,0.09916923,2.7547e-08,5.5094e-06,200,1.097,1016.59,36301581.89,0.00623211,us-east,0.7242,free_cooling,2026-05-02T13:00:00Z
ENERGY-000186,canister_update,10,0.00324197,9.01e-10,2.702e-07,300,1.1632,972.53,1110436741.83,0.19063546,eu-west,0.8965,free_cooling,2026-01-06T01:00:00Z
ENERGY-000187,netting_cycle,100,0.18620675,5.1724e-08,1.03448e-05,200,1.0048,876.16,19333348.99,0.00331907,us-east,0.9199,free_cooling,2026-04-28T04:00:00Z
ENERGY-000188,consensus_round,100,0.91779025,2.54942e-07,5.09883e-05,200,1.0491,802.98,3922464.85,0.00067339,eu-west,0.7352,immersion,2026-01-24T19:00:00Z
ENERGY-000189,consensus_round,10,0.09360811,2.6002e-08,2.6002e-06,100,1.1393,1502.16,38458207.79,0.00660236,us-east,0.8819,liquid,2026-01-17T23:00:00Z
ENERGY-000190,canister_query,50,0.00267739,7.44e-10,7.44e-08,100,1.3455,926.15,1344594638.0,0.23083477,us-east,0.7598,free_cooling,2026-06-06T07:00:00Z
ENERGY-000191,bridge_transfer,10,0.01018812,2.83e-09,1.698e-06,600,1.129,1022.05,353352822.73,0.06066224,us-east,0.6919,immersion,2026-04-28T18:00:00Z
ENERGY-000192,settlement_batch,100,0.23940762,6.6502e-08,1.99506e-05,300,1.1434,1194.48,15037115.67,0.00258151,eu-west,0.6385,immersion,2026-06-11T06:00:00Z
ENERGY-000193,settlement_batch,5,0.01272074,3.534e-09,7.067e-07,200,1.0715,777.14,283002318.57,0.04858474,nordic,0.7663,free_cooling,2026-02-21T07:00:00Z
ENERGY-000194,coherence_check,5,0.0004779,1.33e-10,5.97e-08,450,1.2287,857.73,7533033592.1,1.0,eu-west,0.8335,air,2026-01-11T23:00:00Z
ENERGY-000195,provenance_verify,100,0.01802714,5.008e-09,1.5023e-06,300,1.1699,845.23,199698867.95,0.03428352,us-east,0.9019,liquid,2026-03-26T12:00:00Z
ENERGY-000196,canister_query,50,0.002413,6.7e-10,6.7e-08,100,1.095,919.99,1491918404.66,0.25612675,japan,0.8748,immersion,2026-06-10T08:00:00Z
ENERGY-000197,canister_update,5,0.00149727,4.16e-10,8.32e-08,200,1.1962,923.37,2404381880.24,0.41277492,nordic,0.8508,immersion,2026-06-10T06:00:00Z
ENERGY-000198,provenance_verify,100,0.01827472,5.076e-09,2.2843e-06,450,1.197,921.61,196993403.81,0.03381906,nordic,0.7453,free_cooling,2026-04-30T13:00:00Z
ENERGY-000199,canister_query,500,0.02320037,6.445e-09,6.445e-07,100,1.1973,1141.95,155169919.28,0.02663897,us-east,0.8949,immersion,2026-04-04T22:00:00Z
ENERGY-000200,canister_update,500,0.16566573,4.6018e-08,2.07082e-05,450,1.2144,775.22,21730505.04,0.00373061,us-east,0.6931,air,2026-03-23T16:00:00Z
ENERGY-000201,provenance_verify,10,0.0017951,4.99e-10,2.244e-07,450,1.1407,912.04,2005460645.2,0.34428968,singapore,0.7565,immersion,2026-04-22T07:00:00Z
ENERGY-000202,provenance_verify,1,0.00019935,5.5e-11,3.32e-08,600,1.193,863.1,18058864905.8,1.0,japan,0.3692,liquid,2026-01-26T00:00:00Z
ENERGY-000203,canister_query,1,4.746e-05,1.3e-11,1.3e-09,100,1.2884,776.62,75858854387.09,1.0,eu-west,0.763,air,2026-04-20T00:00:00Z
ENERGY-000204,bridge_transfer,10,0.01030884,2.864e-09,1.2886e-06,450,1.0523,461.23,349214900.61,0.05995185,singapore,0.7944,air,2026-06-16T10:00:00Z
ENERGY-000205,canister_update,10,0.00274308,7.62e-10,3.81e-08,50,1.2481,738.25,1312394762.27,0.22530682,eu-west,0.7106,free_cooling,2026-02-14T10:00:00Z
ENERGY-000206,token_mint,500,0.25552237,7.0978e-08,7.0978e-06,100,1.3438,1212.08,14088786.27,0.00241871,us-east,0.6393,liquid,2026-05-26T21:00:00Z
ENERGY-000207,consensus_round,50,0.46708008,1.29744e-07,1.29744e-05,100,1.2036,1342.31,7707457.73,0.00132319,japan,0.7533,air,2026-03-29T03:00:00Z
ENERGY-000208,settlement_batch,1,0.0025847,7.18e-10,4.308e-07,600,1.2428,1032.75,1392808983.72,0.23911203,japan,0.8219,free_cooling,2026-06-18T20:00:00Z
ENERGY-000209,consensus_round,5,0.04696046,1.3045e-08,7.8267e-06,600,1.188,1127.92,76660245.15,0.01316073,japan,0.2806,free_cooling,2026-03-08T14:00:00Z
ENERGY-000210,token_mint,100,0.05311949,1.4755e-08,2.9511e-06,200,1.1489,657.06,67771740.46,0.01163479,japan,0.7713,liquid,2026-06-23T00:00:00Z
ENERGY-000211,consensus_round,50,0.5301017,1.4725e-07,8.83503e-05,600,1.1633,1089.14,6791149.67,0.00116588,us-east,0.6145,free_cooling,2026-02-20T02:00:00Z
ENERGY-000212,provenance_verify,1,0.0002291,6.4e-11,1.27e-08,200,1.3076,1213.1,15713895122.9,1.0,japan,0.8504,immersion,2026-02-26T15:00:00Z
ENERGY-000213,settlement_batch,10,0.03249338,9.026e-09,2.7078e-06,300,1.0998,1150.06,110791783.3,0.0190203,singapore,0.8136,air,2026-05-04T06:00:00Z
ENERGY-000214,consensus_round,500,5.20822867,1.44673e-06,7.23365e-05,50,1.3074,1502.97,691213.89,0.00011866,us-east,0.7577,air,2026-03-14T18:00:00Z
ENERGY-000215,bridge_transfer,50,0.04918433,1.3662e-08,2.7325e-06,200,1.0756,1328.08,73194049.66,0.01256567,japan,0.4075,free_cooling,2026-02-02T08:00:00Z
ENERGY-000216,settlement_batch,50,0.14690106,4.0806e-08,2.0403e-06,50,1.2584,1049.45,24506289.89,0.00420714,eu-west,0.8603,liquid,2026-06-20T05:00:00Z
ENERGY-000217,coherence_check,50,0.0041492,1.153e-09,2.305e-07,200,1.0533,821.3,867637976.06,0.14895271,nordic,0.5119,free_cooling,2026-01-20T06:00:00Z
ENERGY-000218,canister_update,10,0.00311271,8.65e-10,1.729e-07,200,1.2303,1071.12,1156547829.91,0.19855163,eu-west,0.7803,free_cooling,2026-03-07T23:00:00Z
ENERGY-000219,canister_query,100,0.00605633,1.682e-09,1.0094e-06,600,1.2038,1429.44,594419840.86,0.10204768,singapore,0.815,free_cooling,2026-03-13T01:00:00Z
ENERGY-000220,netting_cycle,500,0.86704704,2.40846e-07,0.0001445078,600,1.3,901.83,4152023.88,0.0007128,singapore,0.719,immersion,2026-05-12T08:00:00Z
ENERGY-000221,netting_cycle,5,0.01175961,3.267e-09,9.8e-07,300,1.1202,1254.47,306132721.21,0.05255567,singapore,0.9594,immersion,2026-03-08T08:00:00Z
ENERGY-000222,canister_query,1,4.991e-05,1.4e-11,8.3e-09,600,1.1887,815.09,72131571782.24,1.0,japan,0.7882,free_cooling,2026-02-15T17:00:00Z
ENERGY-000223,canister_update,50,0.01765771,4.905e-09,9.81e-07,200,1.2218,876.54,203876981.82,0.03500081,eu-west,0.8931,immersion,2026-04-13T07:00:00Z
ENERGY-000224,bridge_transfer,500,0.42940616,1.19279e-07,5.964e-06,50,1.0928,770.24,8383671.06,0.00143928,nordic,0.5966,immersion,2026-05-12T04:00:00Z
ENERGY-000225,netting_cycle,500,0.92839036,2.57886e-07,5.15772e-05,200,1.0892,876.54,3877679.2,0.0006657,eu-west,0.8197,liquid,2026-06-18T07:00:00Z
ENERGY-000226,settlement_batch,500,1.62532124,4.51478e-07,4.51478e-05,100,1.1478,1084.43,2214946.76,0.00038025,nordic,0.4395,air,2026-06-01T18:00:00Z
ENERGY-000227,canister_update,10,0.00273227,7.59e-10,4.554e-07,600,1.2795,1192.68,1317587435.56,0.22619828,nordic,0.3574,air,2026-02-10T11:00:00Z
ENERGY-000228,canister_update,5,0.00165613,4.6e-10,1.38e-07,300,1.2133,1131.46,2173748425.63,0.37318067,nordic,0.7702,air,2026-04-04T11:00:00Z
ENERGY-000229,bridge_transfer,500,0.50715242,1.40876e-07,2.81751e-05,200,1.3261,578.01,7098457.71,0.00121864,eu-west,0.6789,free_cooling,2026-05-18T08:00:00Z
ENERGY-000230,settlement_batch,500,1.4851719,4.12548e-07,2.06274e-05,50,1.1937,1019.42,2423961.83,0.00041614,nordic,0.6824,liquid,2026-04-03T21:00:00Z
ENERGY-000231,canister_update,1,0.00029013,8.1e-11,4e-09,50,1.192,1198.94,12408374851.11,1.0,nordic,0.6559,immersion,2026-06-04T19:00:00Z
ENERGY-000232,token_mint,500,0.24198573,6.7218e-08,4.0331e-05,600,1.3082,1181.3,14876910.21,0.00255401,singapore,0.4623,immersion,2026-06-06T07:00:00Z
ENERGY-000233,model_inference,500,21.07404737,5.853902e-06,0.0005853902,100,1.1403,806.29,170826.23,2.933e-05,nordic,0.9279,air,2026-01-21T00:00:00Z
ENERGY-000234,consensus_round,1,0.00919117,2.553e-09,1.277e-07,50,1.2472,1072.16,391680312.36,0.06724215,us-east,0.6428,liquid,2026-03-25T04:00:00Z
ENERGY-000235,canister_update,100,0.02479212,6.887e-09,1.3773e-06,200,1.1334,1163.44,145207417.03,0.02492864,us-east,0.8818,air,2026-04-17T00:00:00Z
ENERGY-000236,settlement_batch,500,1.65442222,4.59562e-07,2.29781e-05,50,1.3285,1030.53,2175986.25,0.00037356,nordic,0.9584,liquid,2026-06-07T23:00:00Z
ENERGY-000237,model_inference,1,0.03954554,1.0985e-08,2.197e-06,200,1.3955,1116.69,91034294.53,0.01562841,nordic,0.8506,liquid,2026-01-01T00:00:00Z
ENERGY-000238,settlement_batch,500,1.2903825,3.5844e-07,0.0001075319,300,1.2399,949.98,2789870.45,0.00047895,japan,0.8103,free_cooling,2026-02-08T00:00:00Z
ENERGY-000239,consensus_round,1,0.01054141,2.928e-09,8.785e-07,300,1.3239,1293.75,341510149.28,0.05862913,singapore,0.8868,free_cooling,2026-02-11T13:00:00Z
ENERGY-000240,token_mint,100,0.05501979,1.5283e-08,4.585e-06,300,1.3225,1071.69,65431002.8,0.01123294,nordic,0.9148,air,2026-02-10T19:00:00Z
ENERGY-000241,settlement_batch,500,1.56968115,4.36023e-07,0.0001962101,450,1.0836,806.96,2293459.41,0.00039373,singapore,0.9421,free_cooling,2026-03-11T04:00:00Z
ENERGY-000242,canister_query,100,0.00463531,1.288e-09,3.863e-07,300,1.4259,925.38,776647074.31,0.13333175,singapore,0.8588,air,2026-06-07T10:00:00Z
ENERGY-000243,bridge_transfer,100,0.10464644,2.9068e-08,8.7205e-06,300,1.0237,1186.37,34401551.33,0.00590592,us-east,0.9478,liquid,2026-01-07T06:00:00Z
ENERGY-000244,coherence_check,500,0.05003761,1.3899e-08,2.7799e-06,200,1.1741,750.39,71945878.78,0.01235139,japan,0.7841,liquid,2026-03-29T08:00:00Z
ENERGY-000245,model_inference,50,2.23339008,6.20386e-07,0.0001240772,200,0.9973,577.61,1611899.35,0.00027672,singapore,0.5061,free_cooling,2026-03-02T09:00:00Z
ENERGY-000246,settlement_batch,10,0.03169709,8.805e-09,5.2828e-06,600,1.22,938.35,113575098.44,0.01949813,eu-west,0.6121,free_cooling,2026-01-23T02:00:00Z
ENERGY-000247,consensus_round,10,0.12020577,3.339e-08,1.00171e-05,300,1.0772,1105.16,29948644.93,0.00514147,nordic,0.8838,air,2026-02-09T11:00:00Z
ENERGY-000248,model_inference,5,0.21302799,5.9174e-08,3.55047e-05,600,1.1798,1261.94,16899187.65,0.00290119,nordic,0.7737,free_cooling,2026-06-02T06:00:00Z
ENERGY-000249,coherence_check,1,9.692e-05,2.7e-11,5.4e-09,200,1.2066,1117.12,37145749041.44,1.0,japan,0.8641,liquid,2026-04-11T06:00:00Z
ENERGY-000250,token_mint,10,0.00566382,1.573e-09,7.87e-08,50,1.1307,891.38,635613252.97,0.10911961,singapore,0.2029,immersion,2026-01-20T02:00:00Z
ENERGY-000251,provenance_verify,10,0.00183103,5.09e-10,3.052e-07,600,1.0863,811.56,1966105968.94,0.33753342,us-east,0.9085,air,2026-05-08T13:00:00Z
ENERGY-000252,provenance_verify,50,0.00927546,2.577e-09,1.1594e-06,450,1.2609,827.75,388120759.6,0.06663106,japan,0.6052,air,2026-05-05T10:00:00Z
ENERGY-000253,canister_query,100,0.00518219,1.439e-09,8.637e-07,600,1.2336,1132.62,694686890.91,0.11926114,japan,0.8838,air,2026-01-09T23:00:00Z
ENERGY-000254,bridge_transfer,50,0.04646739,1.2908e-08,7.7446e-06,600,1.154,905.08,77473691.62,0.01330038,eu-west,0.651,immersion,2026-01-23T03:00:00Z
ENERGY-000255,consensus_round,1,0.01127017,3.131e-09,1.4088e-06,450,1.0619,1018.4,319427350.8,0.05483804,us-east,0.4878,free_cooling,2026-02-01T18:00:00Z
ENERGY-000256,canister_query,100,0.00529282,1.47e-09,6.616e-07,450,1.183,983.25,680167021.62,0.11676843,japan,0.6205,free_cooling,2026-01-18T01:00:00Z
ENERGY-000257,token_mint,100,0.0494113,1.3725e-08,6.863e-07,50,1.0818,1295.17,72857823.82,0.01250795,nordic,0.6539,air,2026-05-27T09:00:00Z
ENERGY-000258,token_mint,500,0.24108559,6.6968e-08,2.00905e-05,300,1.1244,1059.96,14932456.43,0.00256355,nordic,0.709,liquid,2026-01-01T16:00:00Z
ENERGY-000259,token_mint,50,0.02064456,5.735e-09,2.867e-07,50,1.1914,953.94,174380064.14,0.02993689,japan,0.6095,immersion,2026-02-22T10:00:00Z
ENERGY-000260,bridge_transfer,500,0.56965968,1.58239e-07,4.74716e-05,300,1.0489,1020.43,6319562.57,0.00108492,nordic,0.9191,free_cooling,2026-03-02T07:00:00Z
ENERGY-000261,bridge_transfer,1,0.00101474,2.82e-10,1.41e-08,50,1.2658,1016.23,3547718391.95,0.60905849,nordic,0.7794,air,2026-06-27T11:00:00Z
ENERGY-000262,token_mint,1,0.0004369,1.21e-10,5.46e-08,450,1.0418,1086.73,8239859398.01,1.0,nordic,0.6669,immersion,2026-06-09T19:00:00Z
ENERGY-000263,token_mint,10,0.00534104,1.484e-09,8.902e-07,600,1.1656,1265.72,674026034.6,0.11571417,japan,0.4345,immersion,2026-06-22T17:00:00Z
ENERGY-000264,model_inference,5,0.25988703,7.2191e-08,3.24859e-05,450,1.2138,997.72,13852172.81,0.00237809,singapore,0.6963,liquid,2026-03-14T10:00:00Z
ENERGY-000265,bridge_transfer,100,0.1003348,2.7871e-08,2.7871e-06,100,1.1887,1215.2,35879874.57,0.00615972,singapore,0.4005,free_cooling,2026-01-19T17:00:00Z
ENERGY-000266,coherence_check,10,0.00082761,2.3e-10,2.3e-08,100,1.1456,818.13,4349865235.67,0.74676793,japan,0.3607,immersion,2026-05-07T13:00:00Z
ENERGY-000267,bridge_transfer,5,0.00514364,1.429e-09,8.573e-07,600,1.3224,956.09,699893401.21,0.12015498,us-east,0.9474,air,2026-03-24T06:00:00Z
ENERGY-000268,coherence_check,500,0.05253532,1.4593e-08,8.7559e-06,600,1.2713,1002.67,68525322.74,0.01176416,japan,0.7801,immersion,2026-02-04T00:00:00Z
ENERGY-000269,consensus_round,1,0.00911192,2.531e-09,2.531e-07,100,1.0819,756.45,395087061.38,0.06782701,nordic,0.6203,immersion,2026-03-26T19:00:00Z
ENERGY-000270,netting_cycle,5,0.00983539,2.732e-09,2.732e-07,100,1.1426,1006.16,366025081.01,0.06283776,singapore,0.8987,immersion,2026-02-26T22:00:00Z
ENERGY-000271,consensus_round,5,0.04763,1.3231e-08,7.9383e-06,600,1.1914,1140.08,75582616.19,0.01297573,nordic,0.7787,liquid,2026-03-27T17:00:00Z
ENERGY-000272,netting_cycle,1,0.0019817,5.5e-10,3.303e-07,600,1.0698,741.18,1816626066.55,0.31187129,singapore,0.4936,immersion,2026-05-30T05:00:00Z
ENERGY-000273,netting_cycle,100,0.20286667,5.6352e-08,2.8176e-06,50,1.212,583.48,17745645.11,0.0030465,nordic,0.8853,air,2026-01-05T04:00:00Z
ENERGY-000274,token_mint,500,0.2478283,6.8841e-08,1.37682e-05,200,1.1944,1305.93,14526185.98,0.0024938,nordic,0.4178,liquid,2026-04-10T21:00:00Z
ENERGY-000275,canister_update,50,0.01455622,4.043e-09,2.426e-06,600,1.1691,765.9,247316926.6,0.04245841,us-east,0.6225,immersion,2026-04-29T13:00:00Z
ENERGY-000276,coherence_check,50,0.00499381,1.387e-09,8.323e-07,600,1.1999,737.82,720891954.5,0.12375993,singapore,0.628,liquid,2026-05-04T06:00:00Z
ENERGY-000277,coherence_check,50,0.00489143,1.359e-09,8.152e-07,600,1.2194,1008.02,735980468.19,0.12635026,eu-west,0.7693,immersion,2026-05-01T04:00:00Z
ENERGY-000278,coherence_check,5,0.00051248,1.42e-10,1.42e-08,100,1.2085,904.13,7024630777.37,1.0,eu-west,0.7018,free_cooling,2026-06-07T01:00:00Z
ENERGY-000279,consensus_round,1,0.00764955,2.125e-09,1.062e-07,50,1.2336,1114.62,470615860.02,0.0807935,us-east,0.3311,free_cooling,2026-01-09T08:00:00Z
ENERGY-000280,model_inference,10,0.51001226,1.4167e-07,2.8334e-05,200,1.3,625.99,7058653.81,0.0012118,nordic,0.904,free_cooling,2026-06-23T20:00:00Z
ENERGY-000281,token_mint,5,0.00239591,6.66e-10,3.993e-07,600,1.2057,853.57,1502558008.82,0.25795331,singapore,0.626,free_cooling,2026-01-03T16:00:00Z
ENERGY-000282,coherence_check,1,0.00010989,3.1e-11,6.1e-09,200,1.2007,766.18,32760958523.85,1.0,japan,0.7357,air,2026-03-02T00:00:00Z
ENERGY-000283,netting_cycle,500,1.06382717,2.95508e-07,2.95508e-05,100,1.1803,1401.23,3384008.32,0.00058095,singapore,0.8737,immersion,2026-06-04T14:00:00Z
ENERGY-000284,consensus_round,5,0.05034328,1.3984e-08,4.1953e-06,300,1.1898,769.42,71509044.93,0.01227639,eu-west,0.7819,liquid,2026-04-22T20:00:00Z
ENERGY-000285,token_mint,5,0.00270452,7.51e-10,7.51e-08,100,1.3025,1142.76,1331103587.44,0.22851868,us-east,0.6524,immersion,2026-05-20T05:00:00Z
ENERGY-000286,bridge_transfer,500,0.48320534,1.34224e-07,6.04007e-05,450,1.051,1565.23,7450248.78,0.00127903,eu-west,0.9489,liquid,2026-06-26T17:00:00Z
ENERGY-000287,canister_update,50,0.01401986,3.894e-09,1.947e-07,50,1.125,614.31,256778651.03,0.04408276,singapore,0.5108,air,2026-05-28T15:00:00Z
ENERGY-000288,provenance_verify,100,0.02039508,5.665e-09,2.5494e-06,450,1.1968,871.42,176513128.4,0.03030309,singapore,0.4138,liquid,2026-06-27T01:00:00Z
ENERGY-000289,netting_cycle,100,0.20782946,5.773e-08,5.773e-06,100,1.2241,1101.38,17321894.26,0.00297376,japan,0.6365,free_cooling,2026-01-06T00:00:00Z
ENERGY-000290,bridge_transfer,500,0.52342608,1.45396e-07,8.72377e-05,600,1.021,1218.57,6877762.0,0.00118075,eu-west,0.7987,liquid,2026-05-24T21:00:00Z
ENERGY-000291,model_inference,500,25.13035736,6.980655e-06,0.0003490327,50,1.3039,827.39,143253.04,2.459e-05,singapore,0.8156,liquid,2026-04-18T20:00:00Z
ENERGY-000292,canister_update,500,0.13195557,3.6654e-08,1.8327e-06,50,1.2558,865.22,27281910.38,0.00468365,japan,0.9151,air,2026-06-25T14:00:00Z
ENERGY-000293,coherence_check,50,0.00533807,1.483e-09,7.41e-08,50,1.1931,913.36,674400496.64,0.11577845,eu-west,0.7582,free_cooling,2026-02-03T22:00:00Z
ENERGY-000294,bridge_transfer,100,0.09924175,2.7567e-08,2.7567e-06,100,1.1935,557.14,36275057.09,0.00622756,singapore,0.8519,air,2026-06-23T06:00:00Z
ENERGY-000295,consensus_round,100,0.97814178,2.71706e-07,0.0001630236,600,1.1973,844.52,3680448.04,0.00063184,nordic,0.744,liquid,2026-06-16T13:00:00Z
ENERGY-000296,netting_cycle,1,0.00206649,5.74e-10,3.444e-07,600,1.1226,895.83,1742085834.61,0.29907452,singapore,0.5587,liquid,2026-03-18T08:00:00Z
ENERGY-000297,canister_query,500,0.01729537,4.804e-09,2.1619e-06,450,1.3038,1401.56,208148231.58,0.03573408,eu-west,0.724,immersion,2026-03-21T12:00:00Z
ENERGY-000298,coherence_check,10,0.00099016,2.75e-10,1.238e-07,450,1.3292,941.39,3635785094.43,0.62417743,singapore,0.2608,immersion,2026-05-09T06:00:00Z
ENERGY-000299,coherence_check,500,0.04932262,1.3701e-08,2.7401e-06,200,1.314,1113.34,72988822.61,0.01253044,japan,0.74,air,2026-01-23T10:00:00Z
